What is a group in KittyCash? | A group is a set of members who participate in a shared ROSCA.
What does 'agreeGroupTerms' mean? | It means you agree to the group’s terms.
How do I choose the Number of Terms for my group? What does this mean? | The number of terms is the total periods your group will run. For example, if you select "12" and set the term frequency to "Monthly," your group will operate for 12 months.
How do group bids work? | Members place bids to get payout early.
What is a group bonus? | Extra money distributed from winning bidder’s reduction.
How is the payout decided? | By the group’s bidding process.
What is a group cashier? | A member responsible for collecting contributions.
What is group voting? | Voting is used to elect cashier or resolve disputes.
How do I see the groups I’m in? | Go to 'My Groups'.
What is the invite list? | A record of all invitations.
How can I pay my term contribution? | Go to group page and select 'Pay Now'.
How can I check if my payment went through? | View payment history in 'My Payments'.
What happens if I miss a payment? | Missing a payment can result in penalties.
How are bonuses calculated? | From winning bidders’ reduced payouts.
When will my bonus be paid? | After the term’s payout is completed.
How do I check my payout status? | Go to 'Payouts' section in your group.
How can I contact KittyCash support? | Contact via Settings > Help, email, or phone.
What’s the difference between user and group subscriptions? | User subscription is for individuals; group allows shared access.
Will I receive the notifications before payment? | No.
I can’t join a group. What should I do? | If the group is already full or the admin has not yet approved your request, please be patient. If it takes longer than expected, you can reach out to support for assistance.
Why can’t I bid in my group? | If you have already won one time you are not allowed to bid until the session ends.
How does group voting work? | The admin will poll the voting; the highest number of votes will be the winner.
What happens if no one bids in a round? | Any random person will be selected and declared as winner.
Benefits of participating in this app? | Save regularly, access payouts, and manage group funds securely.
How to be sure the investment is safe? | All payments are processed securely via Stripe, and only verified members can join groups.
What happens if one group member does not do payments correctly? | The admin should take action or request help from support to clear the issue.
Can I leave the group in middle once the group transactions starts? | No, you cannot leave once the transactions start.
What happens if the group admin stops managing the group? | Inform KittyCash support.
Can I pay advanced payments for two/three months? | No advanced payments will be accepted.
Age or income requirements to join? | The age limit is around 17 in USA, 18 in India.
Can an admin transfer his role to others? | In certain circumstances, with the consent of all group members, the current admin should appoint a new admin and then exit the group.
Can I remove a member from the group? | If a member does not follow the terms and conditions, they should be removed from the group and replaced with a new member.
Why do I need to provide a contact number? | Your phone number is used for verification and communication regarding your subscriptions and savings groups.
What should I do if my ID verification fails? | You can edit the information or contact KittyCash customer support.
How do I enable my subscription? | Go to Subscription in your account settings, toggle the Subscription Status to Enabled then complete with the account details and payments.
How can I check my subscription details? | You can view your Subscription ID, type, renewal date, expiry date, and payment status under the Subscription section.
What happens if my subscription expires? | If your subscription expires, your access to premium features will stop immediately. You can still use the free/basic version, but to continue enjoying all features, you’ll need to renew.
Can I switch from monthly to yearly subscription? | Yes, you can.
How do I view my subscription history? | Scroll to Subscription History in the Subscription page to see past payments and plan details.
Will I get a refund if I cancel my subscription? | No, cancellations do not trigger automatic refunds. You will continue to have access until the end of your current billing cycle. For special circumstances, contact support.
How do I verify my identity in KittyCash? | After subscription activation, you will be redirected to the profile settings page to complete identity verification.
How can I do the Identity verification? | Click on the identity verification; fill in your address, country, state, pincode, ID number, last 4 digits of your SSN, and date of birth, then click "Verify Identity".
Why is my identity verification status showing as 'Passive' or 'Pending'? | This means your submitted documents or details are still under review. Verification may take a few hours.
What is the difference between Identity Verification and ID Verification? | Identity Verification confirms your personal information and address, while ID Verification checks your government-issued ID documents for authenticity.
How do I complete payout settings? | To complete your payout settings, go to your Profile → Payout Settings and add your bank account details. Once saved, payouts will be automatically transferred.
What happens if my payout account is pending? | You won’t be able to withdraw funds until your account is fully verified and approved.
